SCHOOL_CODE,SCHOOL_NAME,NETWORK
310345,WOODSON SUM,
310345,WOODSON SUM,
910392,WORLD LANGUAGE HS EVE,
910392,WORLD LANGUAGE HS EVE,
310392,WORLD LANGUAGE HS SUM,
310392,WORLD LANGUAGE HS SUM,
910234,YATES EVE,
910234,YATES EVE,
310234,YATES SUM,
310234,YATES SUM,
850211,YMCA - EARLY LRNING DEMSTION CTR,
850211,YMCA - EARLY LRNING DEMSTION CTR,
850210,YMCA - EFFIE O ELLIS,
850210,YMCA - EFFIE O ELLIS,
850212,YMCA - GARFIELD PRESCHOOL,
850212,YMCA - GARFIELD PRESCHOOL,
850213,YMCA - JEANNE KENNEY,
850213,YMCA - JEANNE KENNEY,
850225,YMCA - MCCORMICK TRIBUNE PREK,
850225,YMCA - MCCORMICK TRIBUNE PREK,
850215,YMCA - NORTH LAWNDALE PRESCHOO,
850215,YMCA - NORTH LAWNDALE PRESCHOO,
850216,YMCA - RAUNER FAMILY,
850216,YMCA - RAUNER FAMILY,
850217,YMCA - SOUTH SIDE,
850217,YMCA - SOUTH SIDE,
850214,YMCA MARSHALL INFANT - TODDLER CENTER,
850214,YMCA MARSHALL INFANT - TODDLER CENTER,
909748,YORK HS EVE,
909748,YORK HS EVE,
309748,YORK HS SUM,
309748,YORK HS SUM,
850218,YOUNG ACHIEVERS ACADEMY INC,
850218,YOUNG ACHIEVERS ACADEMY INC,
910235,YOUNG ES EVE,
910235,YOUNG ES EVE,
310235,YOUNG ES SUM,
310235,YOUNG ES SUM,
909755,YOUNG HS EVE,
909755,YOUNG HS EVE,
309755,YOUNG HS SUM,
309755,YOUNG HS SUM,
850101,YOUNG SCHOLARS DEV INSTITUTE,
850101,YOUNG SCHOLARS DEV INSTITUTE,
909973,ZAPATA EVE,
909973,ZAPATA EVE,
309973,ZAPATA SUM,
309973,ZAPATA SUM,
400153,ACERO - BRIGHTON PARK,Charter
400153,ACERO - BRIGHTON PARK,Charter
400101,ACERO - CISNEROS,Charter
400101,ACERO - CISNEROS,Charter
400120,ACERO - CLEMENTE,Charter
400120,ACERO - CLEMENTE,Charter
400081,ACERO - DE LAS CASAS,Charter
400081,ACERO - DE LAS CASAS,Charter
400082,ACERO - FUENTES,Charter
400082,ACERO - FUENTES,Charter
400085,ACERO - GARCIA HS,Charter
400085,ACERO - GARCIA HS,Charter
400112,ACERO - IDAR,Charter
400112,ACERO - IDAR,Charter
400089,ACERO - MARQUEZ,Charter
400089,ACERO - MARQUEZ,Charter
400114,ACERO - SANTIAGO,Charter
400114,ACERO - SANTIAGO,Charter
400149,ACERO - SOTO HS,Charter
400149,ACERO - SOTO HS,Charter
400084,ACERO - TAMAYO,Charter
400084,ACERO - TAMAYO,Charter
